[13:41:22] [INFO]:  Using GLAD GL 4.6
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [TRACE]: R Key Single Press!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:24] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [TRACE]: R Key Single Press!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:26] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [TRACE]: R Key Single Press!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:30] [DEBUG]: R Key is pressed!
[13:41:31] [DEBUG]: R Key is pressed!
[13:41:31] [TRACE]: R Key Single Press!
[13:41:31] [DEBUG]: R Key is pressed!
[13:41:31] [DEBUG]: R Key is pressed!
[13:41:31] [DEBUG]: R Key is pressed!
[13:41:31] [DEBUG]: R Key is pressed!
[13:41:31] [DEBUG]: R Key is pressed!
[13:41:31] [DEBUG]: R Key is pressed!
[13:41:31] [DEBUG]: R Key is pressed!
[13:41:31] [DEBUG]: R Key is pressed!
[13:41:31] [DEBUG]: R Key is pressed!
