[13:08:09] [INFO]:  Using GLAD GL 4.6
[13:08:11] [DEBUG]: R Key is pressed!
[13:08:11] [TRACE]: R Key Single Press!
[13:08:11] [DEBUG]: R Key is pressed!
[13:08:11] [DEBUG]: R Key is pressed!
[13:08:11] [DEBUG]: R Key is pressed!
[13:08:11] [DEBUG]: R Key is pressed!
[13:08:11] [DEBUG]: R Key is pressed!
[13:08:11] [DEBUG]: R Key is pressed!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [TRACE]: R Key Single Press!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [TRACE]: R Key Single Press!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:15] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:16] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [TRACE]: R Key Single Press!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:20] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
[13:08:21] [DEBUG]: R Key is pressed!
